epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,6286.79,0.72262,0.2719,0,0.52432,0.96659,0.99665,1,0.995,0.84736,0.99665,1,0.995,0.99176,0.62101,0.13208,0,0.54425,0.91185,0.0014456,0.0014456,0.0014456
30,6498.46,0.68931,0.19554,0,0.53868,0.93919,0.99546,1,0.995,0.84931,0.99546,1,0.995,0.995,0.61638,0.11512,0,0.46735,0.90852,0.0014258,0.0014258,0.0014258
31,6719.77,0.73041,0.29857,0,0.53837,0.97053,0.99636,1,0.995,0.86034,0.99636,1,0.995,0.98748,0.59454,0.12346,0,0.49881,0.90183,0.001406,0.001406,0.001406
32,6938.38,0.64395,0.23538,0,0.47011,0.91565,0.9912,1,0.995,0.85524,0.9912,1,0.995,0.99343,0.58527,0.10707,0,0.51824,0.89286,0.0013862,0.0013862,0.0013862
33,7157.19,0.66848,0.23953,0,0.50371,0.93349,0.99655,1,0.995,0.86802,0.99655,1,0.995,0.99251,0.59705,0.1095,0,0.49807,0.88772,0.0013664,0.0013664,0.0013664
34,7374.72,0.68391,0.39882,0,0.50621,0.96318,0.99166,1,0.995,0.8678,0.99166,1,0.995,0.97484,0.59485,0.15543,0,0.49736,0.89059,0.0013466,0.0013466,0.0013466
35,7591.46,0.62007,0.26689,0,0.45549,0.92381,0.99596,1,0.995,0.87181,0.99596,1,0.995,0.99262,0.56731,0.10258,0,0.43622,0.88543,0.0013268,0.0013268,0.0013268
36,7803.75,0.66311,0.25585,0,0.47386,0.94326,0.98879,1,0.995,0.87826,0.98879,1,0.995,0.96556,0.56043,0.16974,0,0.49167,0.87732,0.001307,0.001307,0.001307
37,8015.01,0.63225,0.21461,0,0.45919,0.91898,0.9978,1,0.995,0.88037,0.9978,1,0.995,0.9935,0.56471,0.09992,0,0.45443,0.86991,0.0012872,0.0012872,0.0012872
38,8226.74,0.6953,0.25724,0,0.48384,0.94803,0.99265,1,0.995,0.86888,0.99265,1,0.995,0.99147,0.56,0.13372,0,0.49786,0.87632,0.0012674,0.0012674,0.0012674
39,8439.54,0.73925,0.19344,0,0.50231,0.99759,0.99824,1,0.995,0.8772,0.99824,1,0.995,0.97281,0.568,0.16051,0,0.46039,0.88017,0.0012476,0.0012476,0.0012476
40,8650.9,0.71315,0.23517,0,0.51774,0.93918,0.99867,1,0.995,0.8738,0.99867,1,0.995,0.98354,0.57644,0.14508,0,0.42369,0.9053,0.0012278,0.0012278,0.0012278
41,8864.06,0.65098,0.16979,0,0.44619,0.91492,0.99915,1,0.995,0.8692,0.99915,1,0.995,0.98563,0.60119,0.09225,0,0.44963,0.90681,0.001208,0.001208,0.001208
42,9081.08,0.66653,0.18966,0,0.46371,0.94077,0.99928,1,0.995,0.8771,0.99928,1,0.995,0.99326,0.57129,0.09172,0,0.4094,0.88804,0.0011882,0.0011882,0.0011882
43,9292.53,0.70572,0.18354,0,0.48704,0.96806,0.99929,1,0.995,0.86101,0.99929,1,0.995,0.995,0.58947,0.08057,0,0.40966,0.89846,0.0011684,0.0011684,0.0011684
44,9506.47,0.6584,0.1744,0,0.45552,0.92968,0.99503,1,0.995,0.87192,0.99503,1,0.995,0.995,0.58187,0.08747,0,0.41253,0.88586,0.0011486,0.0011486,0.0011486
45,9719.26,0.62674,0.17654,0,0.45322,0.93236,0.99913,1,0.995,0.87129,0.99913,1,0.995,0.995,0.58487,0.07066,0,0.41629,0.90267,0.0011288,0.0011288,0.0011288
46,9929.88,0.58583,0.18801,0,0.42994,0.91625,0.99913,1,0.995,0.88983,0.99913,1,0.995,0.995,0.54128,0.07404,0,0.39193,0.89104,0.001109,0.001109,0.001109
47,10149.7,0.62038,0.1242,0,0.45178,0.94549,0.99901,1,0.995,0.88712,0.99901,1,0.995,0.995,0.55006,0.07103,0,0.40249,0.8873,0.0010892,0.0010892,0.0010892
48,10357.8,0.61444,0.17262,0,0.44422,0.92101,0.99927,1,0.995,0.87678,0.99927,1,0.995,0.995,0.56364,0.09485,0,0.40624,0.88692,0.0010694,0.0010694,0.0010694
49,10578,0.58627,0.14363,0,0.42181,0.90403,0.99929,1,0.995,0.88605,0.99929,1,0.995,0.995,0.51803,0.07758,0,0.39167,0.87191,0.0010496,0.0010496,0.0010496
50,10790,0.58797,0.15442,0,0.42233,0.89239,0.99934,1,0.995,0.88006,0.99934,1,0.995,0.995,0.5346,0.07542,0,0.38704,0.86733,0.0010298,0.0010298,0.0010298
51,11001.4,0.67175,0.15777,0,0.47394,0.96992,0.99921,1,0.995,0.88688,0.99921,1,0.995,0.995,0.53607,0.08851,0,0.39105,0.86998,0.00101,0.00101,0.00101
52,11211.3,0.61555,0.16187,0,0.42577,0.90477,0.9976,1,0.995,0.88846,0.9976,1,0.995,0.995,0.5245,0.06825,0,0.38142,0.8803,0.0009902,0.0009902,0.0009902
53,11419.1,0.63638,0.15495,0,0.45802,0.97347,0.98404,1,0.995,0.89227,0.98404,1,0.995,0.995,0.52717,0.06919,0,0.39471,0.87448,0.0009704,0.0009704,0.0009704
54,11629,0.57912,0.10977,0,0.41518,0.91283,0.99332,1,0.995,0.8802,0.99332,1,0.995,0.995,0.54986,0.06784,0,0.36926,0.89166,0.0009506,0.0009506,0.0009506
55,11843.8,0.60638,0.12743,0,0.44591,0.92039,0.99857,1,0.995,0.88033,0.99857,1,0.995,0.99418,0.5665,0.07615,0,0.38126,0.90059,0.0009308,0.0009308,0.0009308
56,12055.2,0.57179,0.15302,0,0.40555,0.89561,0.99871,1,0.995,0.87855,0.99871,1,0.995,0.99495,0.53761,0.05499,0,0.3903,0.88146,0.000911,0.000911,0.000911
57,12271.8,0.58426,0.12782,0,0.41517,0.89332,0.99924,1,0.995,0.88252,0.99924,1,0.995,0.995,0.527,0.05516,0,0.37278,0.87717,0.0008912,0.0008912,0.0008912
58,12489.7,0.53768,0.14424,0,0.38524,0.89644,0.99952,1,0.995,0.91101,0.99952,1,0.995,0.99436,0.50025,0.07859,0,0.34889,0.86466,0.0008714,0.0008714,0.0008714
59,12706.5,0.57418,0.12236,0,0.4459,0.89911,0.98891,1,0.99489,0.91304,0.99985,1,0.995,0.99445,0.4947,0.0861,0,0.36196,0.862,0.0008516,0.0008516,0.0008516
60,12923,0.60471,0.15551,0,0.41536,0.93534,0.9995,1,0.995,0.91101,0.9995,1,0.995,0.995,0.50944,0.06464,0,0.36265,0.87449,0.0008318,0.0008318,0.0008318
61,13139.3,0.56886,0.13162,0,0.41232,0.90878,0.99931,1,0.995,0.9017,0.99931,1,0.995,0.995,0.53349,0.06171,0,0.35969,0.88339,0.000812,0.000812,0.000812
62,13357.4,0.58128,0.13595,0,0.40338,0.92852,0.99936,1,0.995,0.89702,0.99936,1,0.995,0.995,0.51596,0.07496,0,0.36127,0.87694,0.0007922,0.0007922,0.0007922
63,13579.5,0.59372,0.10874,0,0.40983,0.91513,0.99932,1,0.995,0.89397,0.99932,1,0.995,0.995,0.52263,0.06477,0,0.375,0.87021,0.0007724,0.0007724,0.0007724
64,13790.9,0.57566,0.15521,0,0.42965,0.93604,0.99895,1,0.995,0.89828,0.99895,1,0.995,0.995,0.51689,0.05649,0,0.36848,0.86464,0.0007526,0.0007526,0.0007526
65,14004.8,0.53923,0.13357,0,0.37578,0.9041,0.99922,1,0.995,0.9079,0.99922,1,0.995,0.995,0.51827,0.06118,0,0.36767,0.86579,0.0007328,0.0007328,0.0007328
66,14221.2,0.5415,0.13302,0,0.39066,0.88635,0.99923,1,0.995,0.90556,0.99923,1,0.995,0.995,0.50854,0.05889,0,0.36823,0.85511,0.000713,0.000713,0.000713
67,14432.2,0.51605,0.08587,0,0.37982,0.88667,0.99933,1,0.995,0.89977,0.99933,1,0.995,0.995,0.5037,0.04983,0,0.35039,0.8578,0.0006932,0.0006932,0.0006932
68,14647.6,0.542,0.15231,0,0.3988,0.89507,0.99932,1,0.995,0.90488,0.99932,1,0.995,0.995,0.48176,0.04967,0,0.33467,0.85787,0.0006734,0.0006734,0.0006734
69,14863.8,0.57825,0.11491,0,0.38628,0.89995,0.99936,1,0.995,0.90126,0.99936,1,0.995,0.995,0.49684,0.0473,0,0.33655,0.85515,0.0006536,0.0006536,0.0006536
70,15076.8,0.53026,0.10288,0,0.38974,0.91403,0.99934,1,0.995,0.90159,0.99934,1,0.995,0.995,0.51406,0.04586,0,0.3494,0.86176,0.0006338,0.0006338,0.0006338
71,15297.7,0.59542,0.12415,0,0.40563,0.96529,0.99936,1,0.995,0.91374,0.99936,1,0.995,0.99412,0.47152,0.06523,0,0.31707,0.85214,0.000614,0.000614,0.000614
